[# ERROR | 2022-12-04 | 17:08:27.011 | PID=1676 | ThreadId=15272 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Zugriff verweigert] #]
[# ERROR | 2022-12-04 | 17:08:27.117 | PID=1676 | ThreadId=15272 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Zugriff verweigert] #]
[# ERROR | 2022-12-04 | 17:08:27.224 | PID=1676 | ThreadId=15272 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Zugriff verweigert] #]
[# ERROR | 2022-12-04 | 17:08:27.319 | PID=1676 | ThreadId=15272 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Zugriff verweigert] #]
[# ERROR | 2022-12-04 | 17:08:27.413 | PID=1676 | ThreadId=15272 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Zugriff verweigert] #]
[# ERROR | 2022-12-04 | 17:08:27.522 | PID=1676 | ThreadId=15272 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Zugriff verweigert] #]
[# ERROR | 2022-12-04 | 17:08:27.613 | PID=1676 | ThreadId=15272 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Zugriff verweigert] #]
[# ERROR | 2022-12-04 | 17:08:27.720 | PID=1676 | ThreadId=15272 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Zugriff verweigert] #]
[# ERROR | 2022-12-04 | 17:08:27.813 | PID=1676 | ThreadId=15272 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Zugriff verweigert] #]
[# ERROR | 2022-12-04 | 17:08:27.923 | PID=1676 | ThreadId=15272 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Zugriff verweigert] #]
[# ERROR | 2022-12-04 | 17:08:28.017 | PID=1676 | ThreadId=15272 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Zugriff verweigert] #]
[# ERROR | 2022-12-04 | 17:08:28.110 | PID=1676 | ThreadId=15272 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Zugriff verweigert] #]
[# ERROR | 2022-12-04 | 17:08:28.217 | PID=1676 | ThreadId=15272 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Zugriff verweigert] #]
[# ERROR | 2022-12-04 | 17:08:28.310 | PID=1676 | ThreadId=15272 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Zugriff verweigert] #]
[# ERROR | 2022-12-04 | 17:08:28.419 | PID=1676 | ThreadId=15272 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Zugriff verweigert] #]
[# ERROR | 2022-12-04 | 17:08:28.512 | PID=1676 | ThreadId=15272 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Zugriff verweigert] #]
[# ERROR | 2022-12-04 | 17:08:28.619 | PID=1676 | ThreadId=15272 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Zugriff verweigert] #]
[# ERROR | 2022-12-04 | 17:08:28.713 | PID=1676 | ThreadId=15272 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Zugriff verweigert] #]
[# ERROR | 2022-12-04 | 17:08:28.821 | PID=1676 | ThreadId=15272 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Zugriff verweigert] #]
[# ERROR | 2022-12-04 | 17:08:28.914 | PID=1676 | ThreadId=15272 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Zugriff verweigert] #]
[# ERROR | 2022-12-04 | 17:08:29.023 | PID=1676 | ThreadId=15272 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Zugriff verweigert] #]
[# ERROR | 2022-12-04 | 17:08:29.113 | PID=1676 | ThreadId=15272 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Zugriff verweigert] #]
[# ERROR | 2022-12-04 | 17:08:29.223 | PID=1676 | ThreadId=15272 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Zugriff verweigert] #]
[# ERROR | 2022-12-04 | 17:08:29.314 | PID=1676 | ThreadId=15272 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Zugriff verweigert] #]
[# ERROR | 2022-12-04 | 17:08:29.425 | PID=1676 | ThreadId=15272 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Zugriff verweigert] #]
[# ERROR | 2022-12-04 | 17:08:29.518 | PID=1676 | ThreadId=15272 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Zugriff verweigert] #]
[# ERROR | 2022-12-04 | 17:08:29.610 | PID=1676 | ThreadId=15272 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Zugriff verweigert] #]
[# ERROR | 2022-12-04 | 17:08:29.718 | PID=1676 | ThreadId=15272 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Zugriff verweigert] #]
[# ERROR | 2022-12-04 | 17:08:29.811 | PID=1676 | ThreadId=15272 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Zugriff verweigert] #]
[# ERROR | 2022-12-04 | 17:08:29.921 | PID=1676 | ThreadId=15272 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Zugriff verweigert] #]
[# ERROR | 2022-12-04 | 17:08:30.013 | PID=1676 | ThreadId=15272 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Zugriff verweigert] #]
[# ERROR | 2022-12-04 | 17:08:30.121 | PID=1676 | ThreadId=15272 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Zugriff verweigert] #]
[# ERROR | 2022-12-04 | 17:08:30.214 | PID=1676 | ThreadId=15272 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Zugriff verweigert] #]
[# ERROR | 2022-12-04 | 17:08:30.323 | PID=1676 | ThreadId=15272 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Zugriff verweigert] #]
[# ERROR | 2022-12-04 | 17:08:30.417 | PID=1676 | ThreadId=15272 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Zugriff verweigert] #]
[# ERROR | 2022-12-04 | 17:08:30.525 | PID=1676 | ThreadId=15272 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Zugriff verweigert] #]
[# ERROR | 2022-12-04 | 17:08:30.619 | PID=1676 | ThreadId=15272 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Zugriff verweigert] #]
[# ERROR | 2022-12-04 | 17:08:30.711 | PID=1676 | ThreadId=15272 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Zugriff verweigert] #]
[# ERROR | 2022-12-04 | 17:08:30.819 | PID=1676 | ThreadId=15272 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Zugriff verweigert] #]
[# ERROR | 2022-12-04 | 17:08:30.913 | PID=1676 | ThreadId=15272 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Zugriff verweigert] #]
[# ERROR | 2022-12-04 | 17:08:31.021 | PID=1676 | ThreadId=15272 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Zugriff verweigert] #]
[# ERROR | 2022-12-04 | 17:08:31.113 | PID=1676 | ThreadId=15272 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Zugriff verweigert] #]
[# ERROR | 2022-12-04 | 17:08:31.221 | PID=1676 | ThreadId=15272 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Zugriff verweigert] #]
[# ERROR | 2022-12-04 | 17:08:52.685 | PID=1676 | ThreadId=20872 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Zugriff verweigert] #]
[# ERROR | 2022-12-04 | 17:08:52.718 | PID=1676 | ThreadId=13304 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Zugriff verweigert] #]
[# ERROR | 2022-12-04 | 17:08:52.826 | PID=1676 | ThreadId=13304 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Zugriff verweigert] #]
[# ERROR | 2022-12-04 | 17:08:52.919 | PID=1676 | ThreadId=13304 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Zugriff verweigert] #]
[# ERROR | 2022-12-04 | 17:08:53.028 | PID=1676 | ThreadId=13304 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Zugriff verweigert] #]
[# ERROR | 2022-12-04 | 17:08:53.120 | PID=1676 | ThreadId=13304 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Zugriff verweigert] #]
[# ERROR | 2022-12-04 | 17:08:53.229 | PID=1676 | ThreadId=13304 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Zugriff verweigert] #]
[# ERROR | 2022-12-04 | 17:08:53.322 | PID=1676 | ThreadId=13304 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Zugriff verweigert] #]
[# ERROR | 2022-12-04 | 17:08:53.431 | PID=1676 | ThreadId=13304 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Zugriff verweigert] #]
[# ERROR | 2022-12-04 | 17:08:53.524 | PID=1676 | ThreadId=13304 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Zugriff verweigert] #]
[# ERROR | 2022-12-04 | 17:08:53.618 | PID=1676 | ThreadId=13304 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Zugriff verweigert] #]
[# ERROR | 2022-12-04 | 17:08:53.727 | PID=1676 | ThreadId=13304 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Zugriff verweigert] #]
[# ERROR | 2022-12-04 | 17:08:53.819 | PID=1676 | ThreadId=13304 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Zugriff verweigert] #]
[# ERROR | 2022-12-04 | 17:08:53.930 | PID=1676 | ThreadId=13304 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Zugriff verweigert] #]
[# ERROR | 2022-12-04 | 17:08:54.023 | PID=1676 | ThreadId=13304 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Zugriff verweigert] #]
[# ERROR | 2022-12-04 | 17:08:54.131 | PID=1676 | ThreadId=13304 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Zugriff verweigert] #]
[# ERROR | 2022-12-04 | 17:08:54.224 | PID=1676 | ThreadId=13304 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Zugriff verweigert] #]
[# ERROR | 2022-12-04 | 17:08:54.332 | PID=1676 | ThreadId=13304 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Zugriff verweigert] #]
[# ERROR | 2022-12-04 | 17:08:54.427 | PID=1676 | ThreadId=13304 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Zugriff verweigert] #]
[# ERROR | 2022-12-04 | 17:08:54.519 | PID=1676 | ThreadId=13304 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Zugriff verweigert] #]
[# ERROR | 2022-12-04 | 17:08:54.627 | PID=1676 | ThreadId=13304 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Zugriff verweigert] #]
[# ERROR | 2022-12-04 | 17:08:54.722 | PID=1676 | ThreadId=13304 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Zugriff verweigert] #]
[# ERROR | 2022-12-04 | 17:08:54.832 | PID=1676 | ThreadId=13304 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Zugriff verweigert] #]
[# ERROR | 2022-12-04 | 17:08:54.926 | PID=1676 | ThreadId=13304 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Zugriff verweigert] #]
[# ERROR | 2022-12-04 | 17:08:55.020 | PID=1676 | ThreadId=13304 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Zugriff verweigert] #]
[# ERROR | 2022-12-04 | 17:08:55.129 | PID=1676 | ThreadId=13304 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Zugriff verweigert] #]
